Time,Power,Voltage,Amps
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.2,-0.548811,-40.3724,-0.0029139
0.21,-0.554657,108.843,0.00236191
0.35,-299.675,-496.038,2.0226
0.37,806,794.48,-2.56481
0.39,421.966,327.487,-0.033729
0.41,22.0243,83.0346,-0.530238
0.42,-92.7987,-90.4887,-0.602253
0.44,-152.823,107.787,0.499714
0.46,-179.712,-109.057,0.682972
0.49,-147.463,-52.3032,-0.458972
0.51,-154.237,-86.8145,1.10205
0.57,-302.278,424.165,-0.0484844
0.58,-301.035,-265.548,0.242036
0.59,-297.821,301.92,-0.557354
0.6,-295.838,-64.5592,0.440079
0.61,-297.588,-300.126,-0.057819
0.62,-297.889,538.6,-0.187617
0.63,-297.681,-453.119,0.326405
0.64,-297.128,345.841,-0.464003
0.65,-296.382,-27.5009,0.506899
0.69,-293.566,238.971,-0.482305
0.7,-293.334,89.7907,0.377672
0.71,-293.081,-167.648,0.0489906
0.71,-293.081,-167.648,0.0489906
0.72,-292.211,230.269,-0.650943
0.73,-291.339,-309.153,0.674747
0.74,-290.484,6.90496,-0.429873
0.75,-289.194,-26.0598,0.140435
0.76,-287.887,-257.224,0.271009
0.83,-70.9883,-53.1475,1.66619
0.85,-26.4373,183.782,0.0531819
0.87,-135.254,88.9241,-1.19309
0.88,-121.951,-155.674,0.23368
0.89,-100.662,143.134,-0.226428
0.89,-100.662,143.134,-0.226428
0.9,-87.0514,93.9895,0.0402529
0.91,-77.9526,-141.643,0.39466
0.92,-70.7538,117.738,-0.180345
0.98,-35.8652,231.141,0.0766189
0.99,-38.4287,144.748,0.0502823
