Time,Power,Voltage,Amps
1,-39.2086,22.5747,-0.0519933
1.01,-38.397,-301.292,0.186224
1.02,-30.8428,191.255,-0.089688
1.03,-25.5473,-111.172,0.0605022
1.03,-25.5473,-111.172,0.0605022
1.04,-21.6354,-68.3447,-0.0359456
1.05,-18.4563,207.612,-0.00171764
1.08,-10.5799,14.9542,0.0821436
1.09,-8.15712,-283.186,-0.0438344
1.1,-5.69315,334.588,-0.0113762
1.1,-5.69315,334.588,-0.0113762
1.11,-3.14839,-125.547,0.0668162
1.12,-0.556312,-75.556,-0.0912063
1.13,2.08038,22.9999,0.0689994
1.13,2.08038,22.9999,0.0689994
1.14,4.72656,-261.946,-0.030342
1.17,12.8248,19.8837,-0.0945968
1.18,15.5093,232.701,0.0682958
1.19,18.1273,-304.518,-0.0192023
1.19,18.1273,-304.518,-0.0192023
1.2,20.6666,175.42,-0.0353949
1.21,23.1049,42.1156,0.0814989
1.21,23.1049,42.1156,0.0814989
1.22,25.3773,-249.458,-0.0960728
1.23,27.4548,356.654,0.0663439
1.26,32.0888,-76.7924,0.0950303
1.26,32.0888,-76.7924,0.0950303
1.27,32.9382,-308.649,-0.10128
1.28,33.3734,238.736,0.0677952
1.29,33.3267,58.8786,-0.010315
1.29,33.3267,58.8786,-0.010315
1.3,32.7724,-7.05071,-0.0559549
1.31,31.6582,297.133,0.110901
1.32,29.9487,-253.522,-0.120904
1.34,24.6977,13.6407,-0.017794
1.35,21.1907,-1.9931,-0.0703814
1.36,17.117,125.962,0.155947
1.37,12.5968,127.413,0.100402
1.37,12.5968,127.413,0.100402
1.38,8.08695,-424.204,-0.0282496
1.39,2.50928,457.785,0.0253233
1.4,-2.85232,-263.485,-0.0454624
1.41,-7.86706,216.219,0.122312
1.44,12.88,425.362,-0.0158298
1.45,16.7505,-103.244,0.031106
1.45,16.7505,-103.244,0.031106
1.46,19.7702,-49.9252,-0.0679468
1.47,16.4671,133.997,0.0450136
1.48,14.1166,-236.094,-0.0131341
1.48,14.1166,-236.094,-0.0131341
1.49,12.6188,137.617,0.00178136
1.5,11.621,-27.6839,0.00385434
1.53,8.57157,69.2453,-0.0236922
1.54,7.60279,42.4482,0.0094792
1.55,6.70297,-54.4333,-0.00305827
1.55,6.70297,-54.4333,-0.00305827
1.56,5.85142,-218.169,-0.0328609
1.57,4.94865,-13.2527,0.0386513
1.58,3.94102,-66.2944,-0.0333438
1.58,3.94102,-66.2944,-0.0333438
1.59,2.87535,-124.4,0.0244253
1.62,-0.337939,48.0285,0.035315
1.63,-1.4498,160.179,-0.0303437
1.64,-2.52833,-255.079,0.0265865
1.65,-3.55159,165.827,-0.0152243
1.66,-4.49966,90.9327,-0.00977519
1.66,-4.49966,90.9327,-0.00977519
1.67,-5.39409,-133.537,0.0280543
1.68,-6.22277,264.676,-0.0319139
1.69,-6.95522,-262.293,0.0275818
1.72,-8.49427,-223.087,0.0215299
1.73,-8.81037,49.374,-0.0283853
1.73,-8.81037,49.374,-0.0283853
1.74,-9.02118,41.5445,0.0261834
1.75,-9.12263,-90.0869,-0.016661
1.76,-9.11942,212.092,-0.00417854
1.76,-9.11942,212.092,-0.00417854
1.77,-9.02235,-245.434,0.0200469
1.78,-8.83059,11.0369,-0.0317417
1.81,-7.66135,294.964,-0.00883233
1.82,-7.10606,-199.315,0.0278364
1.83,-6.48895,152.48,-0.026995
1.83,-6.48895,152.48,-0.026995
1.84,-5.82129,62.635,0.0194728
1.85,-5.08079,-255.504,-0.00686945
1.85,-5.08079,-255.504,-0.00686945
1.86,-4.30385,133.848,-0.0159301
1.87,-3.4864,-37.7025,0.0216165
1.9,-0.889211,-228.686,-0.00195668
1.91,0.00337991,105.028,-0.0163879
1.91,0.00337991,105.028,-0.0163879
1.92,0.903041,124.71,0.0287042
1.93,1.77759,-128.753,-0.0292378
1.94,2.63961,318.418,0.0157082
1.94,2.63961,318.418,0.0157082
1.95,3.46667,72.8707,0.00670947
1.96,4.2615,-23.86,-0.0216357
1.99,6.287,233.755,0.0105754
2,6.83218,13.5423,0.0112469
2,6.83218,13.5423,0.0112469
2.01,7.28713,24.9272,-0.0213179
2.02,7.65459,227.942,0.0298639
2.03,7.92488,-97.7231,-0.0238821
2.03,7.92488,-97.7231,-0.0238821
2.04,8.09273,31.4776,0.00240229
2.05,8.14976,48.2093,0.013547
2.08,7.67133,84.9632,-0.0187551
2.09,7.29634,-67.6252,0.00860415

 timer: 200
