Time,VD,VQ,P1Stable,ID,IQ

















0.1,37.1779,237.948,-0.746747,-0.00153266,-0.00534167,
0.18,62.9413,524.724,-278.05,-0.399573,-0.0296229,
0.2,132.415,507.889,-0.382031,0.410967,-0.00293469,
0.23,62.1655,572.977,-209.905,-0.316974,-0.246227,
0.26,528.116,-99.7374,190.742,2.76024,-1.16792,
0.29,-1074.7,-300.758,1617.34,-0.960806,0.0104595,
0.33,553.644,-1291.19,1856.85,-1.40703,-0.380739,
0.35,-975.788,99.1521,1622.61,-1.94314,1.55827,
0.36,298.642,-165.799,986.638,-0.18504,0.516713,
0.39,736.039,224.938,-328.998,-0.690348,-0.525317,
0.48,170.481,666.776,-634.453,0.2955,-0.596253,
0.5,-13.7334,735.4,-557.406,0.356787,-0.394687,
0.52,-137.814,737.759,-463.899,0.371148,-0.276925,
0.54,-247.951,669.691,-370.85,0.400464,-0.151795,
0.56,-366.165,585.112,-293.637,0.381735,-0.0364471,
0.58,-435.674,543.649,-238.916,0.35068,0.0495334,
0.6,-463.104,532.223,-203.307,0.335902,0.0955165,
0.62,-469.488,553.247,-181.281,0.328052,0.0838541,
0.64,-447.35,553.299,-170.858,0.327594,0.0487074,
0.72,-295.046,670.391,-209.225,0.365637,-0.0674643,
0.74,-215.609,676.759,-236.415,0.359137,-0.165631,
0.76,-177.852,665.153,-271.1,0.378393,-0.223088,
0.78,-127.898,692.841,-313.113,0.38931,-0.264994,
0.8,-30.2065,730.586,-360.751,0.353682,-0.332521,
0.83,65.4464,709.532,-444.138,0.340871,-0.499903,
0.85,125.316,708.044,-500.502,0.33334,-0.545598,
0.87,160.412,709.463,-553.971,0.290224,-0.589726,
0.89,168.848,716.124,-601.726,0.251368,-0.626431,
0.97,-76.7218,721.357,-734.934,0.458161,-0.624416,
0.99,-182.062,691.203,-758.316,0.5941,-0.546439,
1.01,-341.486,498.91,-625.036,0.364277,-0.358838,
1.02,87.7381,108.425,-657.888,0.84378,-1.61698,
